proteins	genes	gene_name	kcat	rxns	notes	stoicho
P10659	YLR180W	SAM1	0.583		MANUAL_CURATION; GECKO v2 manualModifications.m growth limiting	1
P35172	YBR001C	NTH1	0.67	r_0193	MANUAL_CURATION; GECKO v2 manualModifications.m curation carbon source	1
P48016	YPR026W	ATH1	0.67	r_0193	MANUAL_CURATION; GECKO v2 manualModifications.m curation carbon source	1
P00331	YMR303C	ADH2	143.0		MANUAL_CURATION; GECKO v2 manualModifications.m curation carbon source	1
P14065	YOR120W	GCY1	0.54		MANUAL_CURATION; GECKO v2 manualModifications.m curation carbon source	1
P04046	YMR300C	ADE4	55.6		MANUAL_CURATION; GECKO v2 manualModifications.m topUsed	1
Q04728	YMR062C	ARG7	20.9		MANUAL_CURATION; GECKO v2 manualModifications.m topUsed	1
P15019	YLR354C	TAL1	75.0		MANUAL_CURATION; GECKO v2 manualModifications.m topUsed	1
Q06817	YPR081C	GRS2	15.9		MANUAL_CURATION; GECKO v2 manualModifications.m topUsed	1
P80235	YAR035W	YAT1	1333.3		MANUAL_CURATION; GECKO v2 manualModifications.m topUsed	1
P07149 + P19097	YKL182W and YPL231W	FAS1 and FAS2	8.57	r_2140	MANUAL_CURATION; GECKO v2 manualModifications.m topUsed	1 + 1
P07149 + P19097	YKL182W and YPL231W	FAS1 and FAS2	7.5	r_2141	MANUAL_CURATION; GECKO v2 manualModifications.m topUsed	1 + 1
P00924	YGR254W	ENO1	230.0		MANUAL_CURATION; GECKO v2 manualModifications.m topUsed	1
P19414	YLR304C	ACO1	143.0		MANUAL_CURATION; GECKO v2 manualModifications.m other changes - two step process	1
			1278.0	r_0198, r_4378, r_4420	MANUAL_CURATION; GECKO v2 manualModifications.m curation carbon source	
			19.8	r_0238, r_0239, r_0240, r_0241	MANUAL_CURATION; Growth limiting after proteomics integration, BRENDA kcat with wildCardLvl 1	
P00044	YJR048W	YJR048W	372.0	r_0004	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.1.2.3)	1
P07275	YHR037W	YHR037W	1.5	r_0012	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.2.1.88)	1
Q12166	YOR108W	YOR108W	13.79	r_0024	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.3.3.13)	1
P06208	YNL104C	YNL104C	13.79	r_0025	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.3.3.13)	1
P37254	YNR033W	YNR033W	0.017	r_0066	BRENDA+phyldist (tier=2, wc=0, phyl_d=3, ec=2.6.1.85)	1
P05694	YER091C	YER091C	0.33	r_0085	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.1.1.14)	1
P13711	YGL205W	YGL205W	1.53	r_0120	BRENDA+phyldist (tier=2, wc=0, phyl_d=0, ec=1.3.3.6)	1
P53909	YNL141W	YNL141W	5.5	r_0138	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=3.5.4.2)	1
P47143	YJR105W	YJR105W	25.5	r_0142	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.1.20)	1
Q12458	YDR368W	YDR368W	117.5	r_0164	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.1.1.-)	1
P07246	YMR083W	YMR083W	283.0	r_0165	BRENDA+phyldist (tier=2, wc=0, phyl_d=0, ec=1.1.1.1)	1
P32356	YDR001C	YDR001C	167.0	r_0194	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=3.2.1.28)	1
P07285	YDR354W	YDR354W	2.9	r_0202	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.4.2.18)	1
P38715	YHR104W	YHR104W	117.5	r_0205	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.1.1.-)	1
P00812	YPL111W	YPL111W	0.27	r_0206	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=3.5.3.1)	1
P10869	YER052C	YER052C	227.0	r_0215	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.2.4)	1
P38992	YDR297W	YDR297W	900.0	r_0259	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.-.-.-)	1
P38992	YDR297W	YDR297W	900.0	r_0261	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.-.-.-)	1
P20485	YLR133W	YLR133W	2.55	r_0273	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.1.32)	1
P32178	YPR060C	YPR060C	361.0	r_0278	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=5.4.99.5)	1
P08679	YCR005C	YCR005C	11.2	r_0301	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.3.3.16)	1
P32582	YGR155W	YGR155W	21.5	r_0309	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=4.2.1.22)	1
P31373	YAL012W	YAL012W	1.81	r_0310	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=4.4.1.1)	1
Q12178	YPR062W	YPR062W	170.0	r_0318	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=3.5.4.1)	1
P54783	YML086C	YML086C	20.9	r_0319	BRENDA+phyldist (tier=2, wc=0, phyl_d=0, ec=1.1.3.37)	1
